d2024-12-30 13:34:27,330 - resnet_50 - INFO - Training - Epoch: 5, Batch: [3328/10010], Loss: 4.0317, Accuracy: 21.18%, LR: 0.001000
2024-12-30 13:37:02,659 - resnet_50 - INFO - Training - Epoch: 5, Batch: [3456/10010], Loss: 4.0302, Accuracy: 21.22%, LR: 0.001000
2024-12-30 13:39:38,016 - resnet_50 - INFO - Training - Epoch: 5, Batch: [3584/10010], Loss: 4.0287, Accuracy: 21.24%, LR: 0.001000
2024-12-30 13:42:13,316 - resnet_50 - INFO - Training - Epoch: 5, Batch: [3712/10010], Loss: 4.0270, Accuracy: 21.27%, LR: 0.001000
2024-12-30 13:44:48,624 - resnet_50 - INFO - Training - Epoch: 5, Batch: [3840/10010], Loss: 4.0260, Accuracy: 21.29%, LR: 0.001000
2024-12-30 13:47:23,904 - resnet_50 - INFO - Training - Epoch: 5, Batch: [3968/10010], Loss: 4.0249, Accuracy: 21.32%, LR: 0.001000
2024-12-30 13:49:59,283 - resnet_50 - INFO - Training - Epoch: 5, Batch: [4096/10010], Loss: 4.0228, Accuracy: 21.35%, LR: 0.001000
2024-12-30 13:52:34,637 - resnet_50 - INFO - Training - Epoch: 5, Batch: [4224/10010], Loss: 4.0200, Accuracy: 21.38%, LR: 0.001000
2024-12-30 13:55:09,973 - resnet_50 - INFO - Training - Epoch: 5, Batch: [4352/10010], Loss: 4.0180, Accuracy: 21.40%, LR: 0.001000
2024-12-30 13:57:45,298 - resnet_50 - INFO - Training - Epoch: 5, Batch: [4480/10010], Loss: 4.0166, Accuracy: 21.43%, LR: 0.001000
2024-12-30 14:00:20,654 - resnet_50 - INFO - Training - Epoch: 5, Batch: [4608/10010], Loss: 4.0153, Accuracy: 21.45%, LR: 0.001000
2024-12-30 14:02:56,012 - resnet_50 - INFO - Training - Epoch: 5, Batch: [4736/10010], Loss: 4.0140, Accuracy: 21.45%, LR: 0.001000
2024-12-30 14:05:31,388 - resnet_50 - INFO - Training - Epoch: 5, Batch: [4864/10010], Loss: 4.0129, Accuracy: 21.47%, LR: 0.001000
2024-12-30 14:08:06,734 - resnet_50 - INFO - Training - Epoch: 5, Batch: [4992/10010], Loss: 4.0121, Accuracy: 21.48%, LR: 0.001000
2024-12-30 14:10:42,082 - resnet_50 - INFO - Training - Epoch: 5, Batch: [5120/10010], Loss: 4.0104, Accuracy: 21.50%, LR: 0.001000
2024-12-30 14:13:17,457 - resnet_50 - INFO - Training - Epoch: 5, Batch: [5248/10010], Loss: 4.0089, Accuracy: 21.52%, LR: 0.001000
2024-12-30 14:15:52,810 - resnet_50 - INFO - Training - Epoch: 5, Batch: [5376/10010], Loss: 4.0073, Accuracy: 21.54%, LR: 0.001000
2024-12-30 14:18:28,127 - resnet_50 - INFO - Training - Epoch: 5, Batch: [5504/10010], Loss: 4.0062, Accuracy: 21.55%, LR: 0.001000
2024-12-30 14:21:03,494 - resnet_50 - INFO - Training - Epoch: 5, Batch: [5632/10010], Loss: 4.0048, Accuracy: 21.57%, LR: 0.001000
2024-12-30 14:23:38,856 - resnet_50 - INFO - Training - Epoch: 5, Batch: [5760/10010], Loss: 4.0028, Accuracy: 21.60%, LR: 0.001000
2024-12-30 14:26:14,177 - resnet_50 - INFO - Training - Epoch: 5, Batch: [5888/10010], Loss: 4.0015, Accuracy: 21.61%, LR: 0.001000
2024-12-30 14:28:49,499 - resnet_50 - INFO - Training - Epoch: 5, Batch: [6016/10010], Loss: 4.0003, Accuracy: 21.62%, LR: 0.001000
2024-12-30 14:31:24,809 - resnet_50 - INFO - Training - Epoch: 5, Batch: [6144/10010], Loss: 3.9992, Accuracy: 21.64%, LR: 0.001000
2024-12-30 14:34:00,148 - resnet_50 - INFO - Training - Epoch: 5, Batch: [6272/10010], Loss: 3.9976, Accuracy: 21.67%, LR: 0.001000
2024-12-30 14:36:35,469 - resnet_50 - INFO - Training - Epoch: 5, Batch: [6400/10010], Loss: 3.9959, Accuracy: 21.70%, LR: 0.001000
2024-12-30 14:39:10,767 - resnet_50 - INFO - Training - Epoch: 5, Batch: [6528/10010], Loss: 3.9946, Accuracy: 21.71%, LR: 0.001000
2024-12-30 14:41:46,109 - resnet_50 - INFO - Training - Epoch: 5, Batch: [6656/10010], Loss: 3.9935, Accuracy: 21.73%, LR: 0.001000
2024-12-30 14:44:21,459 - resnet_50 - INFO - Training - Epoch: 5, Batch: [6784/10010], Loss: 3.9921, Accuracy: 21.74%, LR: 0.001000
2024-12-30 14:46:56,752 - resnet_50 - INFO - Training - Epoch: 5, Batch: [6912/10010], Loss: 3.9910, Accuracy: 21.76%, LR: 0.001000
2024-12-30 14:49:32,098 - resnet_50 - INFO - Training - Epoch: 5, Batch: [7040/10010], Loss: 3.9899, Accuracy: 21.77%, LR: 0.001000
2024-12-30 14:52:07,428 - resnet_50 - INFO - Training - Epoch: 5, Batch: [7168/10010], Loss: 3.9879, Accuracy: 21.79%, LR: 0.001000
2024-12-30 14:54:42,701 - resnet_50 - INFO - Training - Epoch: 5, Batch: [7296/10010], Loss: 3.9861, Accuracy: 21.82%, LR: 0.001000
2024-12-30 14:57:18,021 - resnet_50 - INFO - Training - Epoch: 5, Batch: [7424/10010], Loss: 3.9846, Accuracy: 21.84%, LR: 0.001000
2024-12-30 14:59:53,351 - resnet_50 - INFO - Training - Epoch: 5, Batch: [7552/10010], Loss: 3.9828, Accuracy: 21.86%, LR: 0.001000
2024-12-30 15:02:28,699 - resnet_50 - INFO - Training - Epoch: 5, Batch: [7680/10010], Loss: 3.9812, Accuracy: 21.89%, LR: 0.001000
2024-12-30 15:05:04,066 - resnet_50 - INFO - Training - Epoch: 5, Batch: [7808/10010], Loss: 3.9800, Accuracy: 21.91%, LR: 0.001000
2024-12-30 15:07:39,372 - resnet_50 - INFO - Training - Epoch: 5, Batch: [7936/10010], Loss: 3.9781, Accuracy: 21.93%, LR: 0.001000
2024-12-30 15:10:14,733 - resnet_50 - INFO - Training - Epoch: 5, Batch: [8064/10010], Loss: 3.9766, Accuracy: 21.96%, LR: 0.001000
2024-12-30 15:12:50,089 - resnet_50 - INFO - Training - Epoch: 5, Batch: [8192/10010], Loss: 3.9759, Accuracy: 21.97%, LR: 0.001000
